JUNGLESCOUT WEBAPP CSV EXPORT 
Report Generated at: Thu May 14 2020 12:11:54 GMT-0700 (Pacific Daylight Time)
ASIN ,Product Name ,Brand ,Category ,Est. Monthly Revenue ,Est. Monthly Sales ,Price ,Fees ,Net ,Rank ,Reviews ,LQS ,Sellers ,Buy Box Owner ,Rating ,Dimensions ,Product Tier ,Weight
"B07W7V2WJK" ,"Husqvarna 965877502 350BT 2-Cycle Gas Backpack Blower  Orange (3-(Pack))" ,"Husqvarna" ,"Patio, Lawn & Garden" ,"$1,835,946.00" ,"1,800" ,"$1,019.97" ,"$157.71" ,"$862.26" ,"1,860" ,"915" ,"3" ,"1" ,"Fix_My_Toys" ,"4.3" ,"8.00" x 8.00" x 8.00"" ,"Standard (Large)" ,"2 lbs"
"B07YGVYQ9P" ,"D.B. Smith Field King Professional 190328 No Leak Pump Backpack Sprayer for Killing Weeds in Lawns and Gardens (Fivе Расk  Original)" ,"D.B. Smith" ,"Patio, Lawn & Garden" ,"$810,000.00" ,"1,350" ,"$600.00" ,"N.A." ,"N.A." ,"2,717" ,"755" ,"4" ,"1" ,"WAL Supplies" ,"4.5" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"0 lbs"
"B07P13Q9PT" ,"Roc Inflatable Stand Up Paddle Board W Free Premium SUP Accessories & Backpack  Non-Slip Deck Bonus Waterproof Bag  Leash  Paddle and Hand Pump Youth & Adult" ,"Roc" ,"Sports & Outdoors" ,"$803,580.45" ,"1,891" ,"$424.95" ,"$82.02" ,"$342.93" ,"1,701" ,"1320" ,"7" ,"1" ,"Team Roc" ,"4.7" ,"12.68" x 18.27" x 35.83"" ,"Oversize (Small)" ,"28.6998 lbs"
"B07ZJWGSFG" ,"Roc Inflatable Stand Up Paddle Board W Free Premium SUP Accessories & Backpack  Non-Slip Deck Bonus Waterproof Bag  Leash  Paddle and Hand Pump Youth & Adult" ,"Roc" ,"Sports & Outdoors" ,"$798,056.10" ,"1,878" ,"$424.95" ,"$80.65" ,"$344.30" ,"1,213" ,"1315" ,"7" ,"1" ,"Team Roc" ,"4.8" ,"9.15" x 16.25" x 34.15"" ,"Oversize (Small)" ,"25.0996 lbs"
"B07ZJWVY71" ,"Roc Inflatable Stand Up Paddle Board W Free Premium SUP Accessories & Backpack  Non-Slip Deck Bonus Waterproof Bag  Leash  Paddle and Hand Pump Youth & Adult" ,"Roc" ,"Sports & Outdoors" ,"$796,781.25" ,"1,875" ,"$424.95" ,"$80.71" ,"$344.24" ,"1,701" ,"1320" ,"7" ,"1" ,"Team Roc" ,"4.7" ,"9.00" x 16.00" x 35.00"" ,"Oversize (Small)" ,"25.2495 lbs"
"B07P1328G9" ,"Roc Inflatable Stand Up Paddle Board W Free Premium SUP Accessories & Backpack  Non-Slip Deck Bonus Waterproof Bag  Leash  Paddle and Hand Pump Youth & Adult" ,"Roc" ,"Sports & Outdoors" ,"$756,705.40" ,"1,892" ,"$399.95" ,"$78.17" ,"$321.78" ,"1,715" ,"1320" ,"7" ,"1" ,"Team Roc" ,"4.7" ,"10.00" x 16.00" x 34.00"" ,"Oversize (Small)" ,"28.4507 lbs"
"B079FYRYDK" ,"Roc Inflatable Stand Up Paddle Board W Free Premium SUP Accessories & Backpack  Non-Slip Deck Bonus Waterproof Bag  Leash  Paddle and Hand Pump Youth & Adult" ,"Roc" ,"Sports & Outdoors" ,"$751,506.05" ,"1,879" ,"$399.95" ,"$80.04" ,"$319.91" ,"1,715" ,"1320" ,"7" ,"1" ,"Team Roc" ,"4.7" ,"34.20" x 16.40" x 10.50"" ,"Oversize (Small)" ,"33.35 lbs"
"B07NY2WD3R" ,"Roc Inflatable Stand Up Paddle Board W Free Premium SUP Accessories & Backpack  Non-Slip Deck Bonus Waterproof Bag  Leash  Paddle and Hand Pump Youth & Adult" ,"Roc" ,"Sports & Outdoors" ,"$748,306.45" ,"1,871" ,"$399.95" ,"$79.14" ,"$320.81" ,"1,701" ,"1320" ,"7" ,"1" ,"Team Roc" ,"4.7" ,"9.50" x 16.00" x 33.50"" ,"Oversize (Small)" ,"30.9992 lbs"
"B07XW14CLZ" ,"Samsonite Classic Leather Backpack" ,"Samsonite" ,"Laptop Backpacks" ,"$652,761.60" ,"3,840" ,"$169.99" ,"$34.15" ,"$135.84" ,"6" ,"17" ,"2" ,"1" ,"Amazon.com" ,"4.9" ,"8.03" x 16.89" x 22.83"" ,"Oversize (Small)" ,"3.3731 lbs"
"B07ZJW17RZ" ,"Roc Inflatable Stand Up Paddle Board W Free Premium SUP Accessories & Backpack  Non-Slip Deck Bonus Waterproof Bag  Leash  Paddle and Hand Pump Youth & Adult" ,"Roc" ,"Sports & Outdoors" ,"$638,316.00" ,"1,680" ,"$379.95" ,"$73.98" ,"$305.97" ,"1,727" ,"1319" ,"7" ,"1" ,"Team Roc" ,"4.7" ,"8.50" x 16.00" x 34.00"" ,"Oversize (Small)" ,"25.3002 lbs"
"B07DFFTPKP" ,"Himawari Travel School Backpack with USB Charging Port 15.6 Inch Doctor Work Bag for Women&Men College Students(123#Lavender)" ,"himawari" ,"Clothing, Shoes & Jewelry" ,"$554,047.90" ,"14,210" ,"$38.99" ,"$10.56" ,"$28.43" ,"376,898" ,"1781" ,"7" ,"1" ,"Himawari Direct-sale Store" ,"4.6" ,"0.40" x 10.60" x 17.10"" ,"Standard (Large)" ,"1.4991 lbs"
"B07MKZNMFW" ,"Tumi Men's Alpha Bravo Sheppard Deluxe Backpack  Black  One Size" ,"TUMI" ,"Clothing, Shoes & Jewelry" ,"$522,500.00" ,"1,100" ,"$475.00" ,"$80.87" ,"$394.13" ,"349,896" ,"66" ,"5" ,"5" ,"TSOL Designs" ,"4.6" ,"11.50" x 15.10" x 19.70"" ,"Oversize (Small)" ,"5.9106 lbs"
"B07Y2G9BMG" ,"Savior Equipment Urban Warfare Tactical Double Carbine Long Rifle Bag Gun Case Firearm Backpack Pistol Handgun Case - Lockable Zipper  Padded Side Carry Strap  Available Length in 36" 42" 46" 51" 55"" ,"Savior Equipment" ,"Sports & Outdoors" ,"$520,952.58" ,"2,742" ,"$189.99" ,"N.A." ,"N.A." ,"1,006" ,"1196" ,"4" ,"1" ,"VIPMOTOZ" ,"4.9" ,"0.00" x 0.00" x 0.00"" ,"N.A." ,"10 lbs"
