JUNGLESCOUT KEYWORD SCOUT CSV EXPORT 
Report Generated at: Thu May 14 2020 12:07:55 GMT-0700 (Pacific Daylight Time)
"Search Term(s): ”backpack” 
"
Keyword, 30-Day Search Volume (Exact), 30 Day Trend, 90 Day Trend, 30-Day Search Volume (Broad), Dominant Category, Recommended Promotions, Sp. Brand Ad Bid, PPC Bid (Exact), PPC Bid (Broad), Ease to Rank, Relevancy Score, Organic Product Count, Organic Rank, Organic Ranking ASINs (count), Avg. Competitor Organic Rank, Relative Organic Position
backpack ,"110920","-43%","-8%","654963","Laptop Backpacks","74","$3.57","$0.96","$0.96","5","---","200000","---","---","---","---"
backpack purse for women ,"40461","-46%","43%","55365","Clothing, Shoes & Jewelry","50","$1.36","$0.71","$0.70","100","8","100000","---","---","---","---"
mini backpack ,"33614","-30%","-14%","78307","Clothing, Shoes & Jewelry","26","$1.24","$0.74","$0.73","65","6","100000","---","---","---","---"
backpack for women ,"31575","-50%","-4%","165376","Clothing, Shoes & Jewelry","58","$2.86","$0.72","$0.78","80","23","200000","---","---","---","---"
tactical backpack for men ,"27181","38%","233%","29508","Sports & Outdoors","31","$0.10","$0.74","$0.81","100","5","30000","---","---","---","---"
backpacks ,"25874","-49%","0%","113407","Clothing, Shoes & Jewelry","69","$3.57","$0.67","$0.76","85","52","300000","---","---","---","---"
backpack purse ,"18430","-55%","-29%","90861","Clothing, Shoes & Jewelry","37","$1.34","$0.62","$0.68","75","6","100000","---","---","---","---"
small backpack ,"15702","-55%","35%","44051","Sports & Outdoors","30","$1.98","$0.75","$0.55","100","7","300000","---","---","---","---"
rucksack ,"13833","-5%","24%","21659","Sports & Outdoors","13","$1.83","$0.73","$1.00","40","7","100000","---","---","---","---"
back pack ,"13238","-44%","-5%","21138","Clothing, Shoes & Jewelry","46","$2.69","$3.14","$0.81","100","100","200000","---","---","---","---"
waterproof backpack ,"11775","-62%","9%","25762","Sports & Outdoors","28","$3.89","$1.09","$0.67","75","17","200000","---","---","---","---"
travel backpack for women ,"10932","-64%","77%","14081","Clothing, Shoes & Jewelry","50","$4.12","$0.83","$1.07","85","19","100000","---","---","---","---"
backpack for girls ,"9359","-52%","25%","46028","Clothing, Shoes & Jewelry","11","$2.07","$0.70","$0.35","65","6","100000","---","---","---","---"
military backpack for men ,"9032","44%","74%","10532","Sports & Outdoors","22","$0.10","$0.79","$0.79","100","5","20000","---","---","---","---"
black backpack ,"8163","-50%","11%","23204","Clothing, Shoes & Jewelry","26","$1.43","$0.75","$0.65","100","21","300000","---","---","---","---"
school backpack ,"8012","-52%","-8%","13982","Clothing, Shoes & Jewelry","36","$2.22","$0.83","$0.85","65","24","300000","---","---","---","---"
survival backpack ,"7370","7%","103%","21228","Sports & Outdoors","27","$1.72","$0.76","$0.74","100","6","40000","---","---","---","---"
mochilas de mujer ,"6687","-65%","40%","10587","Clothing, Shoes & Jewelry","22","$1.11","$0.67","$0.56","100","23","7000","---","---","---","---"
small backpack purse for women ,"5965","-59%","111%","7015","Clothing, Shoes & Jewelry","39","$0.10","$0.63","$0.44","100","5","200000","---","---","---","---"
cute backpack ,"5760","-36%","1%","11344","Clothing, Shoes & Jewelry","30","$1.13","$0.58","$0.59","95","10","100000","---","---","---","---"
laptop bag for men ,"5742","-35%","83%","8792","Electronics","22","$4.54","$1.06","$1.15","95","5","100000","---","---","---","---"
waterproof backpack for men ,"5510","49%","48%","6416","Sports & Outdoors","24","$2.50","$0.93","$0.92","100","20","100000","---","---","---","---"
women backpack ,"5462","-49%","3%","11761","Clothing, Shoes & Jewelry","41","$2.90","$0.86","$0.74","95","24","200000","---","---","---","---"
womens backpack purse ,"5271","-60%","19%","8137","Clothing, Shoes & Jewelry","28","$1.33","$0.58","$0.67","100","8","200000","---","---","---","---"
northface backpacks woman ,"5248","-48%","21%","5848","Clothing, Shoes & Jewelry","22","$0.10","$0.81","$0.81","100","6","2000","---","---","---","---"
backpacks for girls ,"5202","-40%","44%","18237","Clothing, Shoes & Jewelry","9","$2.08","$0.92","$0.84","100","6","100000","---","---","---","---"
purse backpack for women ,"5188","-55%","9%","8045","Clothing, Shoes & Jewelry","47","$1.13","$0.60","$0.69","100","5","100000","---","---","---","---"
small backpack for women ,"4480","-56%","-22%","14410","Clothing, Shoes & Jewelry","25","$2.12","$0.90","$0.64","100","19","200000","---","---","---","---"
gucci backpack ,"4345","-28%","-16%","8670","Clothing, Shoes & Jewelry","5","$0.82","$0.46","$0.52","100","5","422","---","---","---","---"
bookbags for women ,"4186","-56%","33%","7245","Clothing, Shoes & Jewelry","26","$1.45","$0.67","$0.67","100","13","100000","---","---","---","---"
anti theft backpack ,"4177","-48%","-25%","18372","Clothing, Shoes & Jewelry","34","$4.16","$0.63","$0.83","95","13","100000","---","---","---","---"
samsonite backpack ,"4089","-70%","-13%","7411","Clothing, Shoes & Jewelry","6","$13.36","$0.69","$0.85","100","7","1000","---","---","---","---"
back packs ,"3811","-47%","5%","12747","Clothing, Shoes & Jewelry","40","$2.69","$1.26","$0.61","100","42","100000","---","---","---","---"
lightweight backpack ,"3741","-41%","55%","7342","Sports & Outdoors","22","$3.30","$0.87","$0.54","95","15","200000","---","---","---","---"
carhartt backpack ,"3254","-44%","16%","6104","Clothing, Shoes & Jewelry","9","$0.10","$0.54","$0.54","100","6","775","---","---","---","---"
fashion backpack for women ,"3243","-40%","-11%","5671","Clothing, Shoes & Jewelry","44","$1.43","$0.60","$0.65","95","5","200000","---","---","---","---"
waterproof backpack for women ,"3136","-26%","29%","5991","Clothing, Shoes & Jewelry","40","$0.10","$0.76","$0.74","100","18","100000","---","---","---","---"
patagonia backpacks ,"3132","-65%","18%","4032","Clothing, Shoes & Jewelry","24","$2.20","$0.66","$0.70","100","8","2000","---","---","---","---"
women backpack purse ,"3110","-50%","23%","6194","Clothing, Shoes & Jewelry","34","$1.36","$0.57","$0.65","85","7","100000","---","---","---","---"
skateboard backpack ,"3023","-47%","-6%","5521","Clothing, Shoes & Jewelry","3","$1.68","$0.51","$0.56","80","5","10000","---","---","---","---"
girl backpack ,"2976","-40%","-2%","7771","Clothing, Shoes & Jewelry","10","$1.46","$0.80","$0.82","100","6","100000","---","---","---","---"
backpack for boys ,"2959","-65%","37%","14477","Clothing, Shoes & Jewelry","14","$2.16","$1.15","$1.04","80","7","100000","---","---","---","---"
backpack women ,"2837","-49%","9%","166869","Clothing, Shoes & Jewelry","37","$3.83","$0.84","$0.42","100","28","100000","---","---","---","---"
computer bags for men ,"2800","-47%","5%","4150","Electronics","26","$3.26","$0.89","$0.90","100","8","100000","---","---","---","---"
backpack waterproof ,"2741","-47%","43%","12510","Sports & Outdoors","24","$4.03","$0.80","$1.14","100","20","100000","---","---","---","---"
backpack lunch bag for men ,"2710","-36%","50%","2860","Sports & Outdoors","6","$0.10","---","---","100","8","100000","---","---","---","---"
gaming backpack ,"2543","-27%","6%","5979","Clothing, Shoes & Jewelry","19","$1.22","$0.61","$0.70","85","13","70000","---","---","---","---"
purse backpack ,"2481","-45%","16%","10717","Clothing, Shoes & Jewelry","19","$1.13","$0.65","$0.73","100","8","200000","---","---","---","---"
canvas backpack for women ,"2436","-31%","32%","4355","Clothing, Shoes & Jewelry","7","$2.25","$0.63","$0.61","95","6","100000","---","---","---","---"
water resistant backpack ,"2410","-22%","14%","5276","Clothing, Shoes & Jewelry","24","$2.33","$0.89","$0.89","95","16","100000","---","---","---","---"
japanese backpack ,"2373","-31%","25%","4045","Clothing, Shoes & Jewelry","16","$0.10","$0.58","$0.61","100","6","20000","---","---","---","---"
cute backpack for women ,"2319","-55%","104%","5019","Clothing, Shoes & Jewelry","33","$1.13","$0.51","$0.58","100","13","100000","---","---","---","---"
back packs for men on sale ,"2290","-56%","-30%","2756","Clothing, Shoes & Jewelry","27","$0.10","$1.31","$0.92","100","22","10000","---","---","---","---"
heavy duty backpack ,"2274","-20%","-1%","5515","Sports & Outdoors","34","$0.99","$0.92","$0.97","100","10","100000","---","---","---","---"
backpack for women fashion ,"2239","-38%","-2%","5089","Clothing, Shoes & Jewelry","38","$1.86","$0.53","$0.55","100","6","100000","---","---","---","---"
small backpack for men ,"2216","-54%","21%","5131","Sports & Outdoors","22","$2.78","$0.89","$0.64","100","25","300000","---","---","---","---"
work backpack ,"2215","-46%","2%","10386","Clothing, Shoes & Jewelry","31","$4.05","$0.66","$0.78","85","36","30000","---","---","---","---"
canvas backpack for men ,"2185","-28%","23%","3390","Clothing, Shoes & Jewelry","13","$0.10","$0.81","$0.73","100","9","100000","---","---","---","---"
vintage backpack ,"2162","-38%","0%","6010","Clothing, Shoes & Jewelry","13","$1.76","$0.71","$0.71","65","8","100000","---","---","---","---"
fashion backpack ,"2150","-49%","6%","8479","Clothing, Shoes & Jewelry","35","$1.42","$0.59","$0.65","100","6","200000","---","---","---","---"
lunch backpack for men ,"2126","-25%","59%","3598","Sports & Outdoors","6","$0.10","$1.14","$1.17","100","7","100000","---","---","---","---"
bulletproof backpack ,"2108","-22%","-1%","4935","Sports & Outdoors","13","$0.68","$0.50","$0.58","100","5","8000","---","---","---","---"
black backpack for women ,"2097","-51%","39%","5287","Clothing, Shoes & Jewelry","33","$1.24","$0.60","$0.73","100","6","100000","---","---","---","---"
bagpacks women ,"2091","-50%","14%","3891","Clothing, Shoes & Jewelry","24","$0.10","$0.56","$0.61","100","19","50000","---","---","---","---"
backpack travel ,"2062","-47%","37%","6814","Clothing, Shoes & Jewelry","46","$4.09","$1.12","$1.12","95","25","300000","---","---","---","---"
black backpack purse ,"2055","-34%","-10%","4156","Clothing, Shoes & Jewelry","18","$1.28","$0.59","$0.69","100","5","100000","---","---","---","---"
anti theft backpack women ,"2019","-74%","96%","4119","Clothing, Shoes & Jewelry","15","$0.10","$0.80","$0.81","100","8","100000","---","---","---","---"
backpacks for school ,"1938","-48%","104%","5175","Clothing, Shoes & Jewelry","15","$2.25","$0.78","$0.85","100","17","300000","---","---","---","---"
puma backpack ,"1929","-53%","10%","4830","Clothing, Shoes & Jewelry","5","$1.49","$0.66","$0.64","100","7","1000","---","---","---","---"
gym backpack ,"1879","-71%","7%","6026","Clothing, Shoes & Jewelry","14","$2.00","$0.60","$0.71","80","6","200000","---","---","---","---"
nike bookbag ,"1684","-57%","13%","3934","Clothing, Shoes & Jewelry","8","$0.10","$0.57","$0.57","100","5","1000","---","---","---","---"
survival backpacks ,"1679","203%","101%","1979","Sports & Outdoors","21","$1.74","$0.82","$0.79","100","6","40000","---","---","---","---"
tech bag ,"1620","-35%","19%","4656","Electronics","11","$0.10","$0.66","$0.80","95","7","20000","---","---","---","---"
backpack men ,"1591","-53%","-7%","142218","Clothing, Shoes & Jewelry","65","$3.52","$0.97","$0.98","100","33","100000","---","---","---","---"
motorcycle backpacks for men ,"1566","-35%","20%","1716","Automotive","5","$0.10","$0.58","$0.59","100","5","90000","---","---","---","---"
rucksack backpack for men ,"1543","-33%","33%","2235","Sports & Outdoors","12","$0.10","$0.94","$0.73","95","8","100000","---","---","---","---"
bagpacks men ,"1520","-55%","-9%","3198","Clothing, Shoes & Jewelry","66","$0.10","$0.80","$0.73","100","31","30000","---","---","---","---"
herschel backpack women ,"1510","-60%","80%","2261","Clothing, Shoes & Jewelry","11","$0.10","$0.54","$0.53","100","5","1000","---","---","---","---"
backpack with wheels ,"1508","-75%","34%","4515","Clothing, Shoes & Jewelry","8","$3.19","$0.76","$0.81","90","5","90000","---","---","---","---"
big backpack ,"1507","-55%","12%","7382","Clothing, Shoes & Jewelry","47","$1.01","$0.88","$0.65","100","38","300000","---","---","---","---"
under armour backpack for men ,"1477","-61%","-14%","1927","Clothing, Shoes & Jewelry","10","$0.10","---","---","100","5","8000","---","---","---","---"
doughnut macaroon backpack ,"1472","-25%","16%","2072","Clothing, Shoes & Jewelry","9","$0.10","$0.40","$0.44","100","10","2000","---","---","---","---"
backpack purses ,"1464","-42%","10%","5489","Clothing, Shoes & Jewelry","37","$1.34","$0.78","$0.78","100","6","100000","---","---","---","---"
large backpack for men ,"1357","-46%","6%","3317","Clothing, Shoes & Jewelry","14","$0.10","$1.48","$1.14","100","24","200000","---","---","---","---"
travel backpacks ,"1328","-66%","34%","6470","Clothing, Shoes & Jewelry","55","$5.51","$1.02","$0.80","95","24","200000","---","---","---","---"
small backpacks ,"1318","-60%","13%","4200","Clothing, Shoes & Jewelry","23","$1.90","$1.05","$0.49","100","25","300000","---","---","---","---"
small black backpack ,"1315","-54%","18%","2815","Clothing, Shoes & Jewelry","27","$1.34","---","$0.40","100","11","200000","---","---","---","---"
army backpack for men ,"1288","-22%","35%","1565","Sports & Outdoors","12","$0.10","$0.73","$0.75","100","5","10000","---","---","---","---"
tool backpack for men ,"1216","-39%","69%","2266","Tools & Home Improvement","4","$0.10","$0.99","$0.98","100","7","70000","---","---","---","---"
backpack for school ,"1214","-56%","20%","5134","Clothing, Shoes & Jewelry","35","$1.86","$0.74","$0.79","85","17","200000","---","---","---","---"
bagpack ,"1183","-58%","7%","4033","Clothing, Shoes & Jewelry","46","$2.49","$0.63","$0.68","95","43","70000","---","---","---","---"
work bags for men ,"1161","-52%","-1%","1611","Clothing, Shoes & Jewelry","26","$1.28","$0.91","$0.76","100","8","100000","---","---","---","---"
cheap backpacks ,"1157","-22%","22%","2402","Clothing, Shoes & Jewelry","28","$0.94","$0.65","$0.64","100","30","200000","---","---","---","---"
cool backpacks ,"1146","-50%","20%","3000","Clothing, Shoes & Jewelry","9","$1.27","$0.64","$0.60","100","11","100000","---","---","---","---"
edc backpack for men ,"1140","108%","86%","1290","Sports & Outdoors","15","$0.10","$0.88","$0.71","100","6","6000","---","---","---","---"
waterproof backpacks ,"1113","-43%","-8%","2613","Sports & Outdoors","24","$3.74","$0.94","$1.06","100","16","100000","---","---","---","---"
school bags ,"1107","-56%","0%","5792","Clothing, Shoes & Jewelry","31","$1.44","$1.00","$0.54","90","10","300000","---","---","---","---"
sports backpack ,"1009","-67%","5%","3877","Clothing, Shoes & Jewelry","14","$4.31","$0.86","$0.73","100","11","200000","---","---","---","---"
designer backpack for men ,"1002","-35%","8%","1202","Clothing, Shoes & Jewelry","5","$0.10","$0.76","$0.68","100","6","80000","---","---","---","---"
targus backpack ,"966","-63%","6%","3939","Electronics","9","$11.32","$0.66","$0.91","100","8","317","---","---","---","---"
backpack lock ,"940","-57%","15%","3371","Clothing, Shoes & Jewelry","20","$2.45","$0.71","$0.78","100","7","70000","---","---","---","---"
logooo backpack ,"934","62%","66%","1615","Clothing, Shoes & Jewelry","13","$0.10","---","---","100","5","105","---","---","---","---"
tactical laptop backpack ,"918","-22%","-9%","1218","Sports & Outdoors","15","$0.10","$0.91","$0.93","100","9","100000","---","---","---","---"
backpack purses for women ,"915","-41%","8%","2525","Clothing, Shoes & Jewelry","29","$0.10","$0.74","$0.76","100","8","200000","---","---","---","---"
charging backpack ,"888","-53%","-1%","3745","Electronics","46","$1.89","$0.61","$0.81","100","17","100000","---","---","---","---"
patagonia backpack ,"872","-63%","-14%","3805","Clothing, Shoes & Jewelry","20","$2.25","$0.53","$0.53","100","8","3000","---","---","---","---"
nike elite backpack ,"862","-70%","-14%","3758","Clothing, Shoes & Jewelry","1","$0.89","$0.53","$0.47","100","5","321","---","---","---","---"
mochilas para mujer ,"848","-55%","7%","10587","Clothing, Shoes & Jewelry","26","$0.10","$0.67","$0.59","100","19","672","---","---","---","---"
