"Export date: 5/14/2020, 12:12:44 PM","","#","Product Name","Brand","Price","Mo. Sales","Mo. Revenue","Date First Available","Net","Reviews","Rating","Fees","LQS","Seller type","Category","ASIN","Link"
"Search Term: backpack","","1","Travel Laptop Backpack Business Anti Theft Slim Durable Laptops Backpack with USB Charging Port Water Resistant College School Computer Bag Gifts for Men & Women Fits 15.6 Inch Notebook Grey","MATEIN","$29.99","11269","$337957","","$20.76","14259","4.5","$9.23","7","FBA","Laptop Backpacks","B06XZTZ7GB","https://www.amazon.com/Backpack-Business-Charging-Resistant-Computer/dp/B06XZTZ7GB/ref=sr_1_3?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-3"
"Average Sales: 896","","2","PANS Backpack Large Military Expandable Travel Backpack Tactical Waterproof Hiking Backpack for Men","Feeke","$37.99","3183","$120922","","$27.06","1251","4.5","$10.93","5","FBA","Sports & Outdoors","B07CT8SLN2","https://www.amazon.com/dp/B07CT8SLN2"
"Average Sales Rank: 25,467","","3","Travel Laptop Backpack Business Anti Theft Slim Durable Laptops Backpack with USB Charging Port Water Resistant College School Computer Bag Gifts for Men & Women Fits 15.6 Inch Notebook Grey","MATEIN","$29.99","11269","$337957","","$20.76","14259","4.5","$9.23","7","FBA","Laptop Backpacks","B06XZTZ7GB","https://www.amazon.com/Backpack-Business-Charging-Resistant-Computer/dp/B06XZTZ7GB/ref=sr_1_3?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-3"
"Average Price: $42.11","","4","Backpacks for Men Extra Large Travel Laptop Backpack Gifts for Women Men with USB Charging PortTSA Friendly Business Computer Bag College High School Bookbags Fit 17 Inch Laptops 45LBlack","YOREPEK","$33.99","5176","$175932","","$23.9","7818","4.5","$10.09","7","FBA","Laptop Backpacks","B071ZYHCM6","https://www.amazon.com/Backpack-Charging-Friendly-Resistant-Business/dp/B071ZYHCM6/ref=sr_1_4?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-4"
"Average Reviews: 1,709","","5","Modoker Vintage Laptop Backpack for Women MenSchool College Backpack","Modoker","$23.99","273","$6549","","$15.68","4819","4.5","$8.31","3","FBA","","B073CNXM95","https://www.amazon.com/Modoker-Vintage-Backpack-Charging-Notebook/dp/B073CNXM95/ref=sr_1_5?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-5"
"","","6","Clear Backpack Stadium Approved Clear Backpack Small for Concert Stadium","MAY TREE","$6.19","69","$427","","$2","255","4.5","$4.19","6","FBA","Clothing Shoes & Jewelry","B07HD6FRPY","https://www.amazon.com/Backpack-Bookbags-Durable-Backpacks-Transparent/dp/B07HD6FRPY/ref=sr_1_6?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-6"
"","","7","ZOMAKE 30L Lightweight Packable Backpack Water Resistant Hiking DaypackSmall Travel Backpack Foldable Camping Outdoor Bag","ZOMAKE","$18.99","948","$18003","","$12.95","2332","4.5","$6.04","7","FBA","Clothing Shoes & Jewelry","B07CBT2RN4","https://www.amazon.com/ZOMAKE-Lightweight-Packable-Backpack-Resistant/dp/B07CBT2RN4/ref=sr_1_7?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-7"
"","","8","SOLDIERKNIFE Extra Large Durable 50L Travel Laptop Backpack School Backpack Travel Backpack College Bookbag with USB Charging Port fit 17 Inch Laptops for Men Women Including Lock Black","SOLDIERKNIFE","$32.99","2896","$95539","","$22.95","266","4.5","$10.04","","FBA","Laptop Backpacks","B07V4R4Z77","https://www.amazon.com/Mochila-port%C3%A1til-adaptarse-pulgadas-hombres/dp/B07V4R4Z77/ref=sr_1_8?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-8"
"","","9","Laptop Backpack Extra Large 17 Inch Business Travel Backpack with USB Charging Port Earphone Hole Durable Water Resistant Work Computer Backpack College/High School Bags for Men/Women/Boys","Sosoon","$25.99","527","$13697","","$17.25","527","5","$8.74","5","FBA","Laptop Backpacks","B07QZHJ5W5","https://www.amazon.com/dp/B07QZHJ5W5"
"","","10","Lightweight Backpack for School VASCHY Classic Basic Water Resistant Casual Daypack for Travel with Bottle Side Pockets","VASCHY","$19.89","365","$7260","","$13.72","1833","4.5","$6.17","6","FBA","Clothing Shoes & Jewelry","B071JNKK11","https://www.amazon.com/Mochila-impermeable-plegable-deportes-senderismo/dp/B071JNKK11/ref=sr_1_10?crid=2NMN31U5AEZM6&dchild=1&keywords=backpack&qid=1589483396&sprefix=backpa%2Caps%2C1267&sr=8-10"
