"","1870","1871","1872","1873","1874","1875","1876","1877","1878","1879","1880","1881","1882","1883","1884","1885","1886","1887","1888","1889","1890","1891","1892","1893","1894","1895","1896","1897","1898","1899","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"High school graduates","16000","","","","","","","","","","23634","","","","","","","","","","43731","","","","","","","","","","94883","","","","","","","","","","156429","","","","","","","","","","311266","","","","","","","","","","666904","","","","","","","","","","1221475","","","","","","","","","","1199700","","","","","","","","","","1858023","","","","","","","","","","2888639","","","","","","3142120","","","","3042214","3020285","2994758","2887604","2766797","2676917","2642616","2693803","2773020","2743742.61","2574161.82","2492987.63","2480398.54","2480519","2463849","2519084","2518109","2611988","2704050","2758655","2832844","2847973","2906534","3015734.73","3054438","3106499","3122544","3199650","3312337","3347828","3435022","3449940","3455405","3478027","3479930","3530250","3563750","3599700","3672200"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"By type","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1890","1900","1910","1920","1930","1940","1950","1960","1970","1976","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"% Public","0.5004","0.6507","0.7119","0.7418","0.8873","0.936","0.8864","0.8757","0.8961","0.9029","0.9032","0.9023","0.9032","0.8996","0.9017","0.9018","0.9016","0.9016","0.9016","0.8961","0.9014","0.8965","0.8974","0.9003","0.9014","0.9025","0.9027","0.9029","0.902","0.901","0.9015","0.9021152939","0.9019450658","0.9019185185","0.9014548666","0.9010947693","0.9016827304","0.9041754566","0.9061085873","0.9077572085","0.9106264821","0.9113491828","0.9113794186","0.9112226558","0.9104924524","0.9027689257","0.9047043142","0.9043309164","0.9040248352","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"% Private","0.4996","0.3493","0.2881","0.2582","0.1127","0.064","0.1136","0.1243","0.1039","0.0971","0.0968","0.0977","0.0968","0.1004","0.0983","0.0982","0.0984","0.0984","0.0984","0.1039","0.0986","0.1035","0.1026","0.0997","0.0986","0.0975","0.0973","0.0971","0.098","0.099","0.0985","0.097884706","0.0980549341","0.0980814814","0.0985451333","0.0989052306","0.0983172695","0.0958245433","0.0938914126","0.0922427914","0.0893735178","0.0886508171","0.0886205813","0.0887773441","0.0895075475","0.0972310742","0.0952984917","0.0956690835","0.0959751647","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
