CDSCode,School,County,Charter,Magnet,EILCode
1100170000000,No Data,Alameda,No Data,No Data,No Data
1100170109835,FAME Public Charter,Alameda,Y,N,ELEMHIGH
1100170112607,Envision Academy for Arts & Technology,Alameda,Y,N,HS
1100170118489,Aspire California College Preparatory Academy,Alameda,Y,N,HS
1100170123968,Community School for Creative Education,Alameda,Y,N,ELEM
1100170124172,Yu Ming Charter,Alameda,Y,N,ELEM
1100170125567,Urban Montessori Charter,Alameda,Y,N,ELEM
1100170129403,Epic Charter,Alameda,Y,N,INTMIDJR
1100170130302,"Technical, Agricultural & Nat.",Alameda,N,No Data,UG
1100170130401,Alameda County Juvenile Hall/Court,Alameda,N,N,HS
1100170130419,Alameda County Community,Alameda,N,N,HS
1100170130427,Alameda County Opportunity,Alameda,N,No Data,HS
1100170131276,Berkeley Trade & Tech. College,Alameda,N,No Data,UG
1100170131581,Oakland Unity Middle,Alameda,Y,N,INTMIDJR
1100170131912,Canyon Valley Adult School,Alameda,N,No Data,UG
1100170136101,Connecting Waters Charter - East Bay,Alameda,Y,N,ELEMHIGH
1100170136226,Opportunity Academy,Alameda,Y,N,HS
1100170136853,Roosevelt High (Defunct),Alameda,N,No Data,UG
1100170137448,Aurum Preparatory Academy,Alameda,Y,N,ELEM
1100170138412,University High School (Defunc,Alameda,N,No Data,UG
1100170138644,Washington Evening High (Defun,Alameda,N,No Data,UG
1100170138867,Hayward Collegiate Charter,Alameda,Y,N,ELEM
1100176001788,Cox Academy,Alameda,Y,N,ELEM
1100176002000,Lazear Charter Academy,Alameda,Y,N,ELEM
1100176002729,Chabot Ranch,Alameda,N,No Data,UG
1100176002737,Juvenile Court Schools,Alameda,N,No Data,ELEMHIGH
1100176002745,Las Vistas School,Alameda,N,No Data,UG
1100176002752,Senior Camp,Alameda,N,No Data,UG
1100176002760,Snedigar Cottage,Alameda,N,No Data,UG
1100176066526,Koster/Whiteford Special Center,Alameda,N,No Data,UG
1100176066534,Whiteford School (TMR),Alameda,N,No Data,UG
1100176072276,Alameda County Special Education,Alameda,N,No Data,UG
1100176089379,Buena Vista School (Girls),Alameda,N,No Data,UG
1100176095897,Whiteford (June) School,Alameda,N,No Data,UG
1100176096531,School for School-Age Mothers,Alameda,N,No Data,HS
1100176097539,Sequoia Deaf/Blind Program,Alameda,N,No Data,UG
1100176097562,Burke (William P.) Special Center,Alameda,N,No Data,UG
1100176098586,East County Dch,Alameda,N,No Data,UG
1100176098628,La Fleche (Rock) Special Center,Alameda,N,No Data,UG
1100176098636,Motta (Ronald) Special Center,Alameda,N,No Data,UG
1100176106751,Alameda County Special Education,Alameda,N,N,PS
1100176114896,New Village Community Public Charter East Bay,Alameda,Y,No Data,ELEM
1316090000000,No Data,Alameda,No Data,No Data,No Data
1316090131755,California School for the Blind,Alameda,N,Y,ELEMHIGH
1316170000000,No Data,Alameda,No Data,No Data,No Data
1316170131763,California School for the Deaf-Fremont,Alameda,N,N,ELEMHIGH
1404027200009,"David W. Gordon,Govt. Affairs",Alameda,N,No Data,UG
1611190000000,No Data,Alameda,No Data,No Data,No Data
1611190100818,College Preparatory & Architecture Academy,Alameda,N,No Data,HS
1611190106401,Alameda Science and Technology Institute,Alameda,N,Y,HS
1611190111765,Ruby Bridges Elementary,Alameda,N,N,ELEM
1611190119222,Nea Community Learning Center,Alameda,Y,N,ELEMHIGH
1611190122085,The Academy of Alameda,Alameda,Y,N,INTMIDJR
1611190126656,Maya Lin,Alameda,N,N,ELEM
1611190128199,Encinal Junior Jets,Alameda,N,Y,INTMIDJR
1611190130120,Alameda Adult,Alameda,N,No Data,A
1611190130229,Alameda High,Alameda,N,N,HS
1611190130476,Alameda City Unified Alternative Educ.,Alameda,N,No Data,HS
1611190130609,Alameda Community Learning Center,Alameda,Y,N,ELEMHIGH
1611190130625,Alternatives in Action,Alameda,Y,N,HS
1611190131805,The Academy of Alameda Elementary,Alameda,Y,N,ELEM
1611190132142,Encinal Junior/Senior High,Alameda,N,N,ELEMHIGH
1611190132878,Encinal High,Alameda,N,N,HS
1611190134304,Island High (Continuation),Alameda,N,N,HS
1611190138214,Alameda Unified Special Education,Alameda,N,No Data,PS
1611190139220,Maya Lin,Alameda,N,N,ELEM
1611196000004,Chipman Middle,Alameda,N,No Data,INTMIDJR
1611196090005,Donald D. Lum Elementary,Alameda,N,N,ELEM
1611196090013,Edison Elementary,Alameda,N,N,ELEM
1611196090021,Frank Otis Elementary,Alameda,N,N,ELEM
1611196090039,Franklin Elementary,Alameda,N,N,ELEM
1611196090047,Love Elementary,Alameda,N,N,ELEM
1611196090054,Lincoln Middle,Alameda,N,N,INTMIDJR
1611196090062,Longfellow Elementary,Alameda,N,No Data,ELEM
1611196090070,Mastick Elementary,Alameda,N,No Data,UG
1611196090088,George P. Miller Elementary,Alameda,N,No Data,ELEM
1611196090096,Porter Elementary,Alameda,N,No Data,UG
1611196090104,Washington Elementary,Alameda,N,No Data,ELEM
1611196090112,Will C. Wood Middle,Alameda,N,N,INTMIDJR
1611196090120,William G. Paden Elementary,Alameda,N,N,ELEM
1611196090138,Woodstock Elementary,Alameda,N,No Data,ELEM
1611196100374,Amelia Earhart Elementary,Alameda,N,N,ELEM
1611196103451,Grand Alternative,Alameda,N,No Data,UG
1611196110779,Bay Farm,Alameda,N,N,ELEM
1611270000000,No Data,Alameda,No Data,No Data,No Data
1611270126631,Albany Children's Center,Alameda,N,No Data,ELEM
1611270130211,Albany Adult,Alameda,N,No Data,A
1611270130294,MacGregor High (Continuation),Alameda,N,N,HS
1611270130351,Albany Adult,Alameda,N,No Data,UG
